Instrument,Date,Net Cash Flow from Operating Activities,Net Cash Flow from Investing Activities,Net Cash Flow from Financing Activities,Net Cash - Beginning Balance,Net Cash - Ending Balance,Net Change in Cash - Total,Non-cash Items & Reconciliation Adjustments - Cash Flow,Working Capital - Increase/(Decrease) - Cash Flow,Capital Expenditures - Net - Cash Flow,Investments excluding Loans - Decrease/(Increase) - CF,Debt - LT & ST - Issuance/(Retirement) - Total - CF,Capital Expenditures - Total,Assets Sale - Gain/(Loss) - Cash Flow - to Reconcile,Cash Flow from Operating Actvs bef Changes in Working Cap,Cash Flow from Op Actvs bef Changes in Working Cap & Int,Depreciation & Depletion - PPE - CF - to Reconcile,"Depreciation, Depletion & Amort incl Impair -CF to Reconcile",Financial Income/(Expense) - Cash Flow - to Reconcile,Impairment - PPE including Intangibles - CF - to Reconcile,Income Taxes - Paid/(Reimbursed) - Cash Flow,Interest & Dividends - Received - Total - Cash Flow,Interest Paid - Cash,Other Non-Cash Items & adjustments - CF - to Reconcile,Profit/(Loss) - Starting Line - Cash Flow,Accounts Payable - Increase/(Decrease) - Cash Flow,Accounts Receivables - Decrease/(Increase) - Cash Flow,Inventories - Decrease/(Increase) - Cash Flow,Other Assets - Decrease/(Increase) - Cash Flow,Other Liabilities - Increase/(Decrease) -Total - Cash Flow,Fixed Assets - Purchased - Cash Flow,Intangible Assets - Purchased/(Sold) - Net - Total - CF,Intangible Assets - Purchased/Acquired - Cash Flow,Investment Securities Unclassifd - Sold/(Purch) Net Total CF,Other Investing Cash Flow - Decrease/(Increase),"Property, Plant & Equipment - Purchased/(Sold) - Net - CF",Property Plant & Equipment - Purchased - Cash Flow,Property Plant & Equipment Sold - Cash Flow,Debt - Issued - Long-Term - Cash Flow,Debt - Issued/(Reduced) - Long-Term - Cash Flow,Debt - Issued/(Reduced) - Short-Term - Total - Cash Flow,Debt - Reduced - Long-Term - Cash Flow,Net Cash from Continuing Operations,Depreciation Depletion & Amortization - Cash Flow,Free Cash Flow to Equity,Free Cash Flow Net of Dividends,Income Taxes - Paid/(Reimbursed) - Cash Flow - Supplemental,Interest & Dividends - Received - Cash Flow - Supplemental,Interest Paid - Cash Flow - Supplemental,Free Cash Flow,Target
KC.BK,2014-12-31,-10715678.0,-114951749.0,93472167.0,39346947.0,7151687.0,-32195260.0,49033430.0,-24336499.0,100306749.0,55000.0,93472167.0,100306749.0,-54999.0,13620821.0,77338761.0,3226543.0,3226543.0,42127271.0,20782405.198000003,4516260.528,1402445.6666666667,63717940.0,3734615.0,28305331.0,-39692956.166666664,12460832.543000001,-43112925.0,-3493929.0,4572840.0,100306749.0,358684.0625,358684.0625,0.0,-14700000.0,100306749.0,100306749.0,21191654.64,296000000.0,6322303.0,87149864.0,289677697.0,-32195260.0,3226543.0,-17550260.0,-111022427.0,4738156.1425,1402445.6666666667,63717940.0,-111022427.0,1
KC.BK,2013-12-31,-257217923.0,-19581291.0,287392125.0,28754036.0,39346947.0,10592911.0,34239581.0,-256897137.0,5253991.0,90000.0,304782224.0,5253991.0,-89999.0,-320786.0,51240858.0,3227256.0,3227256.0,29401744.0,20782405.198000003,4516260.528,1402445.6666666667,51561644.0,1700580.0,17001277.0,-39692956.166666664,12460832.543000001,-110577099.0,-2326643.0,13683588.0,5253991.0,358684.0625,358684.0625,0.0,-14417300.0,5253991.0,5253991.0,21191654.64,584873000.0,384782224.0,-80000000.0,200090776.0,10592911.0,3227256.0,42310310.0,-279862013.0,4738156.1425,1402445.6666666667,51561644.0,-262471914.0,1
KC.BK,2012-12-31,204375886.0,-15609878.0,-201885450.0,41873478.0,28754036.0,-13119442.0,38173891.0,167708600.0,15609878.0,0.0,-201885450.0,15609878.0,0.0,36667286.0,82829908.0,2813433.0,2813433.0,33866753.0,20782405.198000003,4516260.528,1402445.6666666667,46162622.0,1493705.0,44656017.0,-39692956.166666664,12460832.543000001,196588962.0,-167347.0,-5777489.0,15609878.0,358684.0625,358684.0625,0.0,0.0,15609878.0,15609878.0,21191654.64,40900000.0,-221885450.0,20000000.0,262785450.0,-13119442.0,2813433.0,-13119442.0,188766008.0,4738156.1425,1402445.6666666667,46162622.0,188766008.0,1
KC.BK,2011-12-31,50612762.0,-11882133.0,-31365175.0,34508024.0,41873478.0,7365454.0,44180561.0,105066116.0,3880107.0,1375000.0,-31365175.0,3880107.0,-1374996.0,-54453354.0,-3803225.0,3281917.0,3281917.0,41573130.0,20782405.198000003,4516260.528,1402445.6666666667,50650129.0,700510.0,-47983786.0,-39692956.166666664,12460832.543000001,88961437.0,-2036001.0,6853090.0,3880107.0,358684.0625,358684.0625,0.0,-9377026.0,3880107.0,3880107.0,21191654.64,103472000.0,-67751480.0,36386305.0,171223480.0,7365454.0,3281917.0,15367480.0,46732655.0,4738156.1425,1402445.6666666667,50650129.0,46732655.0,1
KC.BK,2010-12-31,-72512046.0,-4819747.0,33593568.0,78246249.0,34508024.0,-43738225.0,39757338.0,-53650611.0,3310469.0,30000.0,51092254.0,3310469.0,-29999.0,-18861435.0,34466329.0,4462556.0,4462556.0,35324781.0,20782405.198000003,4516260.528,1402445.6666666667,53327764.0,21294945.016111113,-5291009.0,-138456737.0,10959034.0,105695513.0,1130365.0,-27399892.0,3310469.0,358684.0625,358684.0625,0.0,-1539278.0,3310469.0,3310469.0,21191654.64,403450500.0,183483559.0,-132391305.0,219966941.0,-43738225.0,4462556.0,-24730261.0,-93321201.0,6985893.0,1402445.6666666667,53327764.0,-75822515.0,1
KC.BK,2009-12-31,252363000.0,-23362000.0,-197883000.0,47128000.0,78246000.0,31118000.0,47754000.0,239686000.0,1993000.0,7355217.302941177,-197883000.0,1993000.0,0.0,12677000.0,63061000.0,6675000.0,6675000.0,41079000.0,20782405.198000003,4516260.528,1402445.6666666667,50384000.0,0.0,15307000.0,38403000.0,17063000.0,199595000.0,3132000.0,-26868000.0,1993000.0,358684.0625,358684.0625,0.0,-21369000.0,1993000.0,1993000.0,21191654.64,156654000.0,-217883000.0,20000000.0,374537000.0,31118000.0,6675000.0,52487000.0,250370000.0,3013000.0,1402445.6666666667,50384000.0,250370000.0,1
KC.BK,2008-12-31,74305000.0,41484000.0,-135569000.0,66908000.0,47128000.0,-19780000.0,57231000.0,22917000.0,2123000.0,7355217.302941177,-109319000.0,2123000.0,-100000.0,51388000.0,123296000.0,8593000.0,8593000.0,48700000.0,20782405.198000003,4516260.528,1402445.6666666667,71908000.0,38000.0,66065000.0,25144000.0,41467000.0,-62820000.0,5075000.0,18291000.0,2123000.0,358684.0625,358684.0625,0.0,43607000.0,2123000.0,2123000.0,21191654.64,507580000.0,70681000.0,-180000000.0,436899000.0,-19780000.0,8593000.0,-37137000.0,45932000.0,7709000.0,1402445.6666666667,71908000.0,72182000.0,1
KC.BK,2007-12-31,6232000.0,-34384000.0,35772000.0,59287000.0,66908000.0,7620000.0,59951000.0,-37173000.0,33372000.0,0.0,83742000.0,33372000.0,0.0,43405000.0,110658000.0,8730000.0,8730000.0,45604000.0,20782405.198000003,4516260.528,1402445.6666666667,67253000.0,5617000.0,50707000.0,136407000.0,79606000.0,-258562000.0,-2855000.0,10144000.0,33372000.0,358684.0625,358684.0625,0.0,-1012000.0,33372000.0,33372000.0,21191654.64,253964000.0,-128758000.0,212500000.0,382722000.0,7620000.0,8730000.0,56602000.0,-75110000.0,3024000.0,1402445.6666666667,67253000.0,-27140000.0,1
KC.BK,2006-12-31,-24395000.0,-12190000.0,38723000.0,57148000.0,59287000.0,2138000.0,16142000.0,-163615000.0,12289000.0,360000.0,99761000.0,12289000.0,-49000.0,139220000.0,139220000.0,8455000.0,8455000.0,39298721.39222222,20782405.198000003,4516260.528,1402445.6666666667,34019292.465,7736000.0,123078000.0,5295000.0,42033000.0,-214424000.0,1824000.0,-635000.0,12289000.0,358684.0625,358684.0625,0.0,-261000.0,12289000.0,12289000.0,21191654.64,521047000.0,152261000.0,-52500000.0,368786000.0,2138000.0,8455000.0,63077000.0,-97722000.0,4306000.0,1402445.6666666667,69630000.0,-36684000.0,1
KC.BK,2005-12-31,-316999000.0,-49046000.0,367613000.0,55581000.0,57148000.0,1568000.0,6504000.0,-503124000.0,39183000.0,155000.0,367613000.0,39183000.0,-53000.0,186125000.0,186125000.0,6557000.0,6557000.0,39298721.39222222,20782405.198000003,4516260.528,1402445.6666666667,34019292.465,21294945.016111113,179621000.0,-304950000.0,-56217000.0,-162915000.0,-10558000.0,22251000.0,39183000.0,358684.0625,358684.0625,0.0,-10018000.0,39183000.0,39183000.0,21191654.64,256078375.0,-67387000.0,435000000.0,67387000.0,1568000.0,6557000.0,11431000.0,-356182000.0,5610000.0,1402445.6666666667,42819000.0,-356182000.0,1
