,Instrument,Date,Earning Assets Percentage of Total Assets,Real Estate Assets - Foreclosed Pct of Loans - Gross - Total,"Earning Assets Percentage of Total Assets, 5 Yr Avg",Earning Assets Percentage of Total Available Funds,"Earning Assets Percentage of Total Available Funds, 5 Yr Avg",Securities Percentage of Average Earning Assets,Prov for Doubtful Accts Pct of Total Rcvbl - Net,Total Current Assets Percentage of Total Assets,Total Current Liabilities Percentage of Total Assets,Cash & Cash Equivalents to Total Assets,Cash & Cash Equivalents - Total Percentage of Total Assets,Total Cash & ST Investments Percentage of Total Assets,Total Cash & ST Investments Pct of Current Assets,Receivables Percentage of Total Assets,Receivables Percentage of Total Current Assets,Inventories Percentage of Total Assets,Inventories Percentage of Total Current Assets,Current Ratio,"Current Ratio, PoP Diff",Quick Ratio,"Quick Ratio, PoP Diff",Accounts Payable Percentage of Total Assets,"Curr Port LT Debt, Cap Lease, Hybr Fin Pct of Total Assets",ST Debt & Current Portion of LT Debt Pct of Total Assets,Working Capital Pct of Total Long Term Capital,Working Capital to Total Assets,"Working Capital, YoY Avg","Working Capital, PoP Avg",Loans & Receivables - Net - ST to Adj Avg Net Optg Assets,Accounts Payable to Adjusted Average Net Operating Assets,"Total Cash & ST Investments Pct of Current Assets, 5 Yr Avg","Receivables Percentage of Total Assets, PoP Diff","Receivables Percentage of Total Assets, YoY Diff","Receivables Percentage of Total Current Assets, 5 Yr Avg","Inventories Percentage of Total Assets, PoP Diff","Inventories Percentage of Total Assets, YoY Diff","Inventories Percentage of Total Current Assets, 5 Yr Avg","Current Ratio, 5 Yr Avg","Quick Ratio, 5 Yr Avg","Accounts Payable Percentage of Total Assets, PoP Diff","Accounts Payable Percentage of Total Assets, YoY Diff","Accruals - Short-Term, PoP % Chg","Accruals - Short-Term, PoP Diff",Short Term Debt Percentage of Total Assets,"Working Capital - Non-Cash, PoP % Chg","Working Capital - Non-Cash, YoY % Chg","Working Capital Pct of Total Long Term Capital, 5 Yr Avg","Working Capital, 5 Yr Avg","Working Capital, PoP % Chg","Working Capital, PoP Avg, 5 Yr Avg","Working Capital, PoP Diff","Working Capital, YoY % Chg","Working Capital, YoY Diff","Cash & Cash Equivalents - Total, PoP % Chg","Cash & Cash Equivalents - Total, YoY % Chg","Cash & Cash Equivalents - Total, 5 Yr CAGR","Cash & Securities, 5 Yr Avg","Cash & Short Term Investments - Total, 5 Yr Avg","Cash & Short Term Investments - Total, 5 Yr CAGR","Cash & Short Term Investments - Total, 10 Yr CAGR","Short-Term Investments - Total, 5 Yr CAGR","Cash in Hand & with Banks - Total, 5 Yr CAGR","Cash & Cash Equivalents - Total, 5 Yr Avg","Cash & Securities, 3 Yr Avg",Cash Ratio,"Cash, ST Investments & Accounts Rcvbl, PoP Avg","Cash, ST Investments & Accounts Rcvbl, PoP Avg, 5 Yr Avg","Cash, ST Investments & Accounts Rcvbl, YoY Avg","Cash Ratio, 5 Yr Avg","Cash Ratio, PoP Diff","Current Assets excl Cash & ST Investments - Total, 5 Yr Avg",Current Debt to Inventories,"Current Debt to Inventories, 5 Yr Avg","Current Debt to Inventories, PoP Diff",Flow Ratio,"Flow Ratio, 5 Yr Avg","Quick Ratio, 3 Yr Avg",Receivables Percentage of Total Debt,"Receivables Percentage of Total Debt, 3 Yr Avg","Receivables Percentage of Total Debt, 5 Yr Avg",Total Cash & Cash Equivalents Percentage of Current Assets,Working Capital Percentage of Total Current Liabilities,Working Capital Percentage of Total Liabilities,"Cash & Cash Equivalents, PoP Avg","Cash & Cash Equivalents, YoY Avg",Long Term Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Total Assets to Common Equity,Total Assets to Total Equity,Long Term Debt Percentage of Common Equity,Net Debt Percentage of Net Book Value,Net Debt to Total Capital,Net Debt to Total Equity,Net Debt incl Preferred Eq & Minority Intr to Total Capital,Net Debt incl Preferred Eq & Minority Intr to Total Equity,Total Liabilities Percentage of Total Assets,Total Liabilities Percentage of Total Equity,Common Equity Percentage of Total Assets,Common Equity Pct of Total Long Term Capital,Total Equity Percentage of Total Assets,Total Long Term Capital Percentage of Total Assets,"Debt, Preferred Eq & Minority Intr - Total, YoY Avg","Debt, Preferred Eq & Minority Intr - Total, PoP Avg","Debt - Total, YoY Avg","Debt - Total, PoP Avg","Net Debt, PoP Avg",Total Debt excl Islamic to Total Assets,"Total Debt Percentage of Total Assets, 5 Yr Avg",Total Debt to Common Equity,"Total Debt to Common Equity, 5 Yr Avg","Total Assets to Common Equity, PoP Diff",Long Term Debt Percentage of Total Assets,"Long Term Debt Percentage of Total Capital, PoP Diff",Long Term Debt Percentage of Total Equity,Total Debt Capital Percentage of Total Book Capital,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,"Total Debt to Common Equity, PoP Diff","Total Assets to Shareholders Equity - Common, Average TTM","Total Assets to Total Shareholders Equity, Average TTM",Total Cash & ST Investments Pct of Total Long Term Capital,Loans - Gross - Total Percentage of Total Assets,Reserves for Loan Losses Pct of Total Assets,PPE - Net Percentage of Total Assets,Total Utility Plant - Net Percentage of Total Assets,Goodwill - Net Percentage of Total Assets,Intangibles - Net Percentage of Total Assets,Total Deposits Percentage of Total Assets,Retained Earnings - Total to Total Assets,Cash & Securities Percentage of Total Deposits,"Cash & Securities Percentage of Total Deposits, 5 Yr Avg","Loans - Gross - Total Percentage of Total Assets, 5 Yr Avg",Loans - Gross - Total to Total Long Term Capital,"Loans - Gross - Total to Total Long Term Capital, 5 Yr Avg",Reserves for Loan Losses Pct of Total LT Capital,"Reserves for Loan Losses Pct of Total LT Capital, 5 Yr Avg","Reserves for Loan Losses Pct of Total Assets, 5 Yr Avg",Total Assets to Shareholders Equity - Common,Total Assets to Total Shareholders Equity,"Total Deposits Percentage of Total Assets, 5 Yr Avg","Long Term Debt Percentage of Common Equity, 5 Yr Avg","Long Term Debt Percentage of Total Capital, 5 Yr Avg","Total Debt Percentage of Total Capital, 5 Yr Avg",Unearned Premium Pct of Total Long Term Capital,"Unearned Premium Pct of Total Long Term Capital, 5 Yr Avg","Common Equity Percentage of Total Assets, 5 Yr Avg",Common Equity Percentage of Total Deposits,"Common Equity Percentage of Total Deposits, 5 Yr Avg","Common Equity Pct of Total Long Term Capital, 5 Yr Avg","Total Long Term Capital Percentage of Total Assets, 5 Yr Avg","Debt, Preferred Eq & Minority Intr - Total, 3 Yr Avg","Debt, Preferred Eq & Minority Intr -Total, PoP Avg, 5 Yr Avg","Debt - LT - Total, 10 Yr Ann/5 Yr Interim Grth %","Debt - LT - Total, 10 Yr Ann/5 Yr Interim Mom %","Debt - LT - Total, 10 Yr Ann/5 Yr Interim Vty %","Debt - Long-Term - Total, 5 Yr Avg","Debt - Long-Term - Total, PoP % Chg","Debt - Long-Term - Total, PoP Avg","Debt - Long-Term - Total, YoY % Chg","Debt - Total, 10 Yr Ann/5 Yr Interim Grth %","Debt - Total, 10 Yr Ann/5 Yr Interim Mom %","Debt - Total, 10 Yr Ann/5 Yr Interim Vty %","Debt - Total, 10 Yr CAGR","Debt - Total, 5 Yr Avg","Debt - Total, 5 Yr CAGR","Debt - Total, PoP Avg, 5 Yr Avg","Net Debt, YoY Avg","Net Debt incl Preferred Equity & Minority Interest, YoY Avg","Cash & Securities Percentage of Total Deposits, 3 Yr Avg",Current Debt to Total Equity,"Current Debt to Total Equity, 5 Yr Avg","Current Debt to Total Equity, PoP Diff",Debt - LT - Total Percentage of Market Cap,"Debt - LT - Total Percentage of Market Cap, 5 Yr Avg","Debt - LT - Total Percentage of Market Cap, PoP Diff","Debt - Total, 3 Yr Avg",Reserves for Loan Losses Pct of Adj Loans - Gross,"Reserves for Loan Losses Pct of Adj Loans - Gross, 5 Yr Avg","Reserves for Loan Losses, 5 Yr Avg",Retained Earnings - Total Percentage of Total LT Capital,"Total Debt Percentage of Total Equity, 5 Yr Avg","Total Equity Percentage of Total Assets, 5 Yr Avg","Total Equity Percentage of Total Assets, PoP Diff",Total Equity Percentage of Total Long Term Capital,"Total Equity Percentage of Total Long Term Capital, 5 Yr Avg","Total Equity Percentage of Total Long Term Capital, PoP Diff",Total Insurance Reserves Pct of Common Equity,"Total Insurance Reserves Pct of Common Equity, 3 Yr Avg","Total Insurance Reserves Pct of Common Equity, 5 Yr Avg","Debt - Long-Term - Total, 3 Yr Avg","Debt - Long-Term - Total, YoY Avg","Long Term Debt Percentage of Common Equity, 3 Yr Avg","Long Term Debt Percentage of Total Equity, PoP % Chg","Long Term Debt Percentage of Total Equity, YoY % Chg","Total Debt Percentage of Total Equity, PoP % Chg","Total Debt Percentage of Total Equity, YoY % Chg",Net Debt to Common Equity,Debt - LT - Total Percentage of Market Cap (O/S),"Debt - LT - Total Percentage of Market Cap (O/S), 5 Yr Avg","Debt - LT - Total Percentage of Market Cap (O/S), PoP Diff",Long Term Debt Percentage of Tangible Book Value,Total Debt minus Working Capital percentage of Long Term Debt,Total Debt Percentage of Tangible Book Value,Total Debt to Net Working Capital,Total Assets Percentage of Total Capital,Debt - LT - Total Percentage of Enterprise Value,Net Debt Percentage of Enterprise Value,Enterprise Value,Price to Book Value per Share,Price to Tangible Book Value per Share,Enterprise Value (O/S),Enterprise Value including Cash & ST Investments,Debt - LT - Total Percentage of Enterprise Value (O/S),Net Debt Percentage of Enterprise Value (O/S),"Enterprise Value, PoP % Chg","Market Capitalization, PoP % Chg","Enterprise Value (O/S), PoP % Chg","Market Capitalization (O/S), PoP % Chg",Debt - Total Percentage of Enterprise Value,Debt - Total Percentage of Enterprise Value (O/S),Working Capital per Share to Price - %,Enterprise Value excl Long Term Investments,Enterprise Value to Market Capitalization,"Enterprise Value, 10 Yr Ann/5 Yr Interim Grth %","Enterprise Value, 10 Yr Ann/5 Yr Interim Mom %","Enterprise Value, 10 Yr Ann/5 Yr Interim Vty %","Enterprise Value, 10 Yr CAGR","Enterprise Value, 3 Yr Avg","Enterprise Value, 3 Yr CAGR","Enterprise Value, 5 Yr Avg","Enterprise Value, 5 Yr CAGR","Enterprise Value, YoY % Chg",Market Capitalization,Market Capitalization to Total Liabilities,"Market Capitalization, 10 Yr Ann/5 Yr Interim Grth %","Market Capitalization, 10 Yr Ann/5 Yr Interim Mom %","Market Capitalization, 10 Yr Ann/5 Yr Interim Vty %","Market Capitalization, 10 Yr CAGR","Market Capitalization, 3 Yr Avg","Market Capitalization, 3 Yr CAGR","Market Capitalization, 5 Yr Avg","Market Capitalization, 5 Yr CAGR","Market Capitalization, YoY % Chg",Net Cash Yield - %,"Price Close (End of Period) - Issue, 3 Yr Avg","Price Close (End of Period) - Issue, 5 Yr Avg","Price Close (End of Period), 3 Yr Avg","Price Close (End of Period), 5 Yr Avg",Price to Book Value per Share - Issue,"Price to Book Value per Share - Issue, 3 Yr Avg","Price to Book Value per Share - Issue, 5 Yr Avg","Price to Book Value per Share, 3 Yr Avg","Price to Book Value per Share, 5 Yr Avg",Price to Tangible Book Value per Share - Issue,"Price to Tangible Book Value per Share - Issue, 3 Yr Avg","Price to Tangible Book Value per Share - Issue, 5 Yr Avg","Price to Tangible Book Value per Share, 3 Yr Avg","Price to Tangible Book Value per Share, 5 Yr Avg",Working Capital - Non-Cash per Share - Issue to Price - %,Working Capital - Non-Cash per Share to Price - %,Working Capital per Share - Issue to Price - %,Curr Enterprise Value,Curr Price to Book Value per Share,Curr Price to Book Value per Share - Issue,Curr Price to Tangible Book Value per Share,Curr Price to Tangible Book Value per Share - Issue,Book Value Percentage of Market Capitalization,Current Debt to Enterprise Value,"Current Debt to Enterprise Value, 5 Yr Avg","Current Debt to Enterprise Value, PoP Diff",Price to Book Value excl Accum Comprehensive Inc per Share,Curr Enterprise Value excluding Long Term Investments,"Curr Cash & ST Investments - Total, LFY Pct of Market Cap","Curr Price to Book Value per Share, LFY","Curr Price to Book Value per Share - Issue, LFY","Curr Price to Tangible Book Value per Share, LFY","Curr Price to Tangible Book Value per Share - Issue, LFY",Price Close (End of Period),Market Capitalization (O/S),Curr Enterprise Value (O/S),Price Close (End of Period) - Issue,Enterprise Value excl Minority Interest,Book Value Percentage of Market Capitalization (O/S),Current Debt to Enterprise Value (O/S),"Current Debt to Enterprise Value (O/S), 5 Yr Avg","Current Debt to Enterprise Value (O/S), PoP Diff",Enterprise Value excl Long Term Investments (O/S),Enterprise Value excl Minority Interest (O/S),"Enterprise Value (O/S), 10 Yr Ann/5 Yr Interim Grth %","Enterprise Value (O/S), 10 Yr Ann/5 Yr Interim Mom %","Enterprise Value (O/S), 10 Yr Ann/5 Yr Interim Vty %","Enterprise Value (O/S), 10 Yr CAGR","Enterprise Value (O/S), 3 Yr Avg","Enterprise Value (O/S), 3 Yr CAGR","Enterprise Value (O/S), 5 Yr Avg","Enterprise Value (O/S), 5 Yr CAGR","Enterprise Value (O/S), YoY % Chg",Enterprise Value to Market Capitalization (O/S),"Market Cap (O/S), 10 Yr Ann/5 Yr Interim Grth %","Market Cap (O/S), 10 Yr Ann/5 Yr Interim Mom %","Market Cap (O/S), 10 Yr Ann/5 Yr Interim Vty %","Market Capitalization (O/S), 10 Yr CAGR","Market Capitalization (O/S), 3 Yr Avg","Market Capitalization (O/S), 3 Yr CAGR","Market Capitalization (O/S), 5 Yr Avg","Market Capitalization (O/S), 5 Yr CAGR",Market Capitalization to Total Liabilities (O/S),"Market Capitalization (O/S), YoY % Chg",Curr Net Debt Percentage of Enterprise Value,Debt - Total Percentage of Market Capitalization,Debt - Total Percentage of Market Capitalization (O/S),Enterprise Value Percentage of Total Assets,Enterprise Value Percentage of Total Assets (O/S),Total Liabilities & Market Capitalization,Total Liabilities & Market Capitalization (O/S),Total Liabilities Pct of Total Liabs & Market Cap,Total Liabilities Pct of Total Liabs & Market Cap (O/S),Curr Price High to Book Value per Share,Curr Price High to Book Value per Share - Issue,Curr Price Low to Book Value per Share,Curr Price Low to Book Value per Share - Issue,Net Debt per Share,Book Value per Share,Book Value per Share - Issue,Tangible Book Value per Share,Tangible Book Value per Share - Issue,Debt - LT - Total per Share,Cash & Short-Term Investments - Total per Share,Working Capital - Non-Cash per Share,Working Capital - Non-Cash per Share - Issue,Working Capital per Share,Working Capital per Share - Issue,"Cash & Short-Term Investments - Total per Share, 5 Yr CAGR",Cash & Short Term Investments - Net of Debt per Share,Book Value excl Other Equity per Share,"Book Value per Share - Issue, 3 Yr Avg","Book Value per Share - Issue, 5 Yr Avg","Book Value per Share - Issue, 5 Yr CAGR","Book Value per Share - Issue, PoP % Chg","Book Value per Share, 10 Yr CAGR","Book Value per Share, 10 Yr Interim CAGR","Book Value per Share, 3 Yr Avg","Book Value per Share, 3 Yr CAGR","Book Value per Share, 3 Yr Interim CAGR","Book Value per Share, 5 Yr Avg","Book Value per Share, 5 Yr CAGR","Book Value per Share, 5 Yr Interim CAGR","Book Value per Share, YoY Avg","Book Value per Share, PoP % Chg","Book Value per Share, PoP Diff",Tangible Book Value excl Other Equity per Share,"Tangible Book Value per Share - Issue, 3 Yr Avg","Tangible Book Value per Share - Issue, 5 Yr Avg","Tangible Book Value per Share, 3 Yr Avg","Tangible Book Value per Share, 5 Yr Avg","Tangible Book Value per Share, YoY Avg","Tangible Book Value per Share, PoP Avg",Book Value excl Accumulated Comprehensive Income per Share,Total Assets per Share,"Total Assets per Share, 3 Yr CAGR","Total Assets per Share, 5 Yr CAGR","Total Assets per Share, PoP % Chg","Total Assets per Share, YoY % Chg","Book Value per Share - Issue, PoP Avg","Book Value per Share - Issue, PoP Avg, 5 Yr Avg","Book Value per Share - Issue, YoY Avg","Book Value per Share, PoP Avg","Book Value per Share, PoP Avg, 5 Yr Avg",Cash & Short-Term Investments - Total per Share - Issue,"Tangible Book Value per Share - Issue, PoP Avg","Tangible Book Value per Share - Issue, PoP Avg, 5 Yr Avg","Tangible Book Value per Share - Issue, YoY Avg",Total Assets per Employee,"Total Assets per Employee, 5 Yr Avg",Working Capital per Employee
0,KC.BK,31/12/2024,,,,,,,,43.49117,64.36246,0.03457,3.4574,3.4574,7.94967,1.14429,2.63109,12.20707,28.06794,0.67572,-0.25556,0.48606,-0.21877,2.66217,0.24824,60.40991,-58.56548,-0.20871,-121517450,-121517450,0.012226062,-0.019302309,18.54455551,1.06772,1.06772,,-0.79201,-0.79201,34.41411806,0.980846903,0.643297092,-1.3295,-1.3295,-23.42434339,-44604560.82,60.16167,-23.42434339,-23.42434339,-3.120382964,-11471428.52,-386.8924677,3340079.277,-160213970,-386.8924677,-160213970,-77.58540672,-77.58540672,4.044221271,139770826.4,108942203.8,4.044221271,16.66311021,,,108942203.8,182530619.3,0.05372,92133558.56,,92133558.56,0.181893698,-0.19356,478519726.5,4.94876,2.673766488,0.89085,,8.196861281,0.641854316,0.1623,0.172436571,,7.94967,-32.42774,-27.24466,91204515.12,91204515.12,7.53878,287.44721,4.27477,4.27477,29.20878,73.16644,0.70375,2.72668,0.70375,2.72668,76.60692,327.47691,23.39308,65.64168,23.39308,35.63754,635852655.4,635852655.4,635852655.4,635852655.4,544648140.3,0.67243,60.26343648,2.87447,1.937218261,1.37137,6.83283,0.58456,29.20878,74.19003,67.24274,74.19003,1.15375,3.430881872,3.430881872,9.70158,,,14.18246,,,0.07815,,-1.17495,,,,,,,,,3.430881872,3.430881872,,13.94459367,4.747551062,65.95418143,,,31.10823272,,,81.78912316,38.03468178,575288813.2,572110741.8,-11.06828523,86.61030008,506.9294019,41928663.72,-3.505738874,67206746.78,-3.505738874,-4.13616907,10.25231384,18.67104967,-4.418123635,582483612.7,3.540775159,572110741.8,544648140.3,544648140.3,,2.58238,1.797772324,1.05086,20.73287473,9.973348879,7.059887962,621622839.5,,,,-329.69402,193.7218261,31.10823272,-11.04927,65.64168,81.78912316,-15.21893,,,,68365013.55,67206746.78,22.71959688,54.37620108,54.37620108,67.05023213,67.05023213,2.72668,20.73287473,9.973348879,7.059887962,29.30669,1289.56842,288.41074,,110.33165,7.062953445,65.93355462,934562045.9,1.408814688,1.413537077,934562045.9,967961856.5,7.062953445,65.93355462,-3.990447182,-36.36363636,-3.990447182,-36.36363636,69.50740086,69.50740086,-63.32981272,613121972,2.935439811,-10.21533052,8.803343005,28.5823528,-8.884912299,1086986782,17.22577569,893948478.1,6.69314295,-3.990447182,318372068.9,0.430202748,-13.9439026,-41.40313848,43.45413184,-13.49135277,617885061.4,6.676105809,420407069.1,15.11472499,-36.36363636,-193.5439811,0.13,,0.13,,1.408734152,,,1.80217576,,1.413570275,,,,,-73.81428571,-73.82062325,-63.32857143,906086667,1.245086017,1.245108502,1.248997073,1.24910778,70.98165634,0.624444474,0.604682442,0.055606674,,586697149.5,46.8034838,0.880592424,0.880613914,0.882885717,0.882835162,0.07,318372068.9,906086667,0.07,,70.98165634,0.624444474,0.604682442,0.055606674,613121972,,-10.21533052,8.803343005,28.5823528,-8.884912299,1086986782,17.22577569,893948478.1,6.69314295,-3.990447182,2.935439811,-13.9439026,-41.40313848,43.45413184,-13.49135277,617885061.4,6.676105809,420407069.1,15.11472499,0.430202748,-36.36363636,64.86295622,204.0347917,204.0347917,96.74184911,96.74184911,1058423290,1058423290,69.92015652,69.92015652,2.817629375,2.817468303,0.603777723,0.603743208,0.135480787,0.049687159,0.04969,0.049521163,0.04952,0.014513012,0.007343567,-0.051674436,-0.05167,-0.044330869,-0.04433,-25.17405839,-0.135480787,0.049687159,0.080754167,0.110826,-32.10723152,-37.48899233,-29.25939669,-27.37695731,0.072135029,-23.60323523,-27.41028655,0.110826608,-32.10806656,-31.68196374,0.06458955,-37.4940912,-0.02980478,0.049521163,0.0805375,0.110594,0.080539385,0.110594893,0.064403311,0.064403311,,0.212401136,-8.730296089,-27.32067764,-7.970619198,-7.970619198,0.06459,0.140304,0.06459,0.06458955,0.140305041,0.00734,0.064405,0.140003,0.064405,19320739.77,15391118.24,
1,KC.BK,31/12/2023,,,,,,,,53.46032,57.40528,0.14195,14.19534,14.19534,26.55304,0.07657,0.14324,12.99908,24.31537,0.93128,-0.19184,0.70483,-0.04103,3.99167,0.2168,52.74908,-9.26162,-0.03945,-132047483.7,14166108.29,-0.000693705,0.004942551,17.60828193,-0.06347,0.10987,,-9.04389,-2.40127,36.83658019,1.03057236,0.650944747,0.0767,-1.73814,-148.7743631,-113876554.5,52.53228,-148.7743631,-16.20988502,5.001537148,18151587.08,-159.3760723,-13595039.02,-111153146.6,-35.31785557,-39636889.83,1.861703378,-16.39968406,40.06346141,90609038.98,107741025.6,40.06346141,14.24316071,,,107741025.6,100594307,0.24728,148728230.7,,62718091.14,0.181466087,-0.01097,504135965.3,4.05791,2.364601509,1.61301,,8.297565892,0.752838042,0.1292,,,26.55304,-6.87212,-6.01755,147647515.8,60369582.88,6.95422,172.07232,2.9034,2.9034,18.92052,56.68324,0.48097,1.30858,0.48097,1.30858,65.55765,190.34025,34.44235,80.86061,34.44235,42.59472,628929623.2,607639365.4,628929623.2,607639365.4,459991849.7,0.59266,58.71953905,1.72072,1.778970045,-0.17242,6.51667,-0.82703,18.92052,63.24507,59.26575,63.24507,-0.16118,3.663245086,3.663245086,33.32653,,,33.99538,,,0.08946,,-0.95216,,,,,,,,,2.983707525,2.983707525,,9.111043483,3.278568439,64.01544516,,,33.00760415,,,87.0069538,37.93674265,565948989.7,558515821.4,-31.33261552,1034.48746,666.9326291,28769557.87,-3.219702799,69543679.22,-3.431026742,-5.782806827,12.85173595,16.4531274,-3.906930069,561737870.8,1.069300592,558515821.4,568560040.4,568560040.4,,1.53152,1.68785961,-0.12613,13.67298677,7.410391031,4.358597992,576612565,,,,-223.53927,177.8970045,33.00760415,1.93071,80.86061,87.0069538,2.65268,,,,46404141.23,67802506.5,12.89709079,-15.62665554,3.835446645,-8.564447167,12.33559999,1.30858,13.67298677,7.410391031,4.358597992,18.96979,969.98482,172.52044,,106.71436,7.027474939,48.60321992,973405269.1,1.383788094,1.38739184,973405269.1,1122414489,7.027474939,48.60321992,-19.26771577,-34.07078283,-19.26771577,-34.07078283,63.91125496,63.91125496,-8.277143842,895098132.1,1.945647176,-10.15370906,-15.12565688,29.56298203,-4.560171321,1057452278,7.851946018,842229500.5,-7.49777766,-31.63995562,500298965.4,0.727007621,-11.73536881,-51.61095129,52.17449924,-2.805700077,613209128.2,24.0219918,388232655.3,-10.57801414,-53.3833818,-94.56471756,,,,,1.383821864,,,,,1.387312398,,,,,-38.06363636,-38.06117899,-8.272727273,1049704448,1.445710987,1.445656459,1.450913445,1.450995911,72.26539989,0.5688378,0.632806512,0.135501971,,772897311.1,29.23967905,1.261092071,1.261034048,1.265607521,1.265677137,0.11,500298965.4,1049704448,0.11,,72.26539989,0.5688378,0.632806512,0.135501971,895098132.1,,-10.15370906,-15.12565688,29.56298203,-4.560171321,1057452278,7.851946018,842229500.5,-7.49777766,-31.63995562,1.945647176,-11.73536881,-51.61095129,52.17449924,-2.805700077,613209128.2,24.0219918,388232655.3,-10.57801414,0.727007621,-53.3833818,52.33906398,124.3487527,124.3487527,92.73131902,92.73131902,1188460892,1188460892,57.90362404,57.90362404,,,,,0.104021189,0.07949194,0.07949,0.07928546,0.07929,0.015040285,0.032762439,-0.041867297,-0.04187,-0.009104858,-0.0091,0.730057444,-0.104021189,0.07949194,0.085899167,0.169782,-31.40762447,-8.873094119,-25.85115313,-27.2395782,0.092717441,-29.44134341,-30.99653885,0.169783474,-31.40728507,-33.03543634,0.066154073,-8.866677201,-0.007734047,0.07928546,0.085690833,0.169412,0.085692853,0.169411883,0.065929638,0.08310012,,0.230797094,-37.77224667,-29.70026171,-13.97526508,-18.81946837,0.08336,0.214185,0.066155,0.083358963,0.214186262,0.03276,0.0831,0.21375,0.065925,19438981.02,13824357.99,
2,KC.BK,31/12/2022,,,,,,,,65.62304,58.42922,0.15089,15.08908,15.08908,22.99357,0.14004,0.2134,22.04297,33.59029,1.12312,-0.1588,0.74586,-0.06279,3.91497,0.08228,53.89291,17.30498,0.07194,-73603616.44,117906998.1,,-0.009026925,14.69079361,,0.02784,,-5.57346,-4.86661,45.7476738,0.926094161,0.502427625,-0.50765,-0.86239,-150.1366359,-45942602.66,53.81063,-150.1366359,-40.61263273,-12.30663814,-45341665.12,-58.00437796,-74045091.98,-96328633,-353.2007323,-93987045.6,-25.61934123,-28.2641994,19.92422215,106715098.2,83467828.7,19.92422215,17.66582371,,,83467828.7,99702306.98,0.25825,,,106436333.1,0.136050582,-0.07562,484696362.7,2.4449,2.077057854,0.59966,,6.582594217,0.67757462,0.22888,,,22.99357,12.31202,10.65934,171478827,103699466.5,7.78125,188.18973,3.07582,3.07582,22.42476,58.63981,0.49196,1.41778,0.49196,1.41778,67.48836,207.58213,32.51164,78.20793,32.51164,41.57078,621999235.3,553861085.8,621999235.3,553861085.8,382382258.8,0.61184,56.55077223,1.8819,1.657231511,0.5688,7.29066,7.76761,22.42476,65.30064,61.18357,65.30064,0.60404,3.421378147,3.421378147,36.29733,,,13.76484,,,0.116,,-0.96307,,,,,,,,,2.756763588,2.756763588,,4.602262672,1.731976552,62.36684701,,,34.12364044,,,90.94557766,37.5209453,557754283.6,553576240.2,-40.84445883,8068.482685,862.4030606,15420946.2,56415.72742,35403306.18,-3.358508784,-5.18229858,20.71946383,17.16298734,-0.478090249,555293771.9,0.58938907,553576240.2,518299768.8,518299768.8,,1.65765,1.611208885,0.3801,9.314388775,3.329414882,9.266701421,546904250.9,,,,-231.67006,165.7231511,34.12364044,-7.37637,78.20793,90.94557766,-17.56782,,,,25076608.34,68390514.8,8.213998997,72098.19704,-1.277578323,47.26937351,6.784494677,1.41778,9.314388775,3.329414882,9.266701421,22.50505,740.53349,188.86356,8.50502,106.72904,5.862186009,37.06311653,1205719965,2.407539408,2.416159814,1205719965,1352005777,5.862186009,37.06311653,107.8297227,189.3464688,107.8297227,189.3464688,49.1957689,49.1957689,9.190665417,1057875318,1.58889342,-9.696792636,88.05044249,31.19950911,-2.068603192,1035755565,21.27565215,934998805.5,-2.832587801,23.73049404,758842569.2,1.159800888,-12.25951283,157.3796465,54.90217996,-1.609233001,597162764.1,68.89768977,463172862.3,-2.808401149,37.30712997,-58.88934198,,,,,2.407428637,,,,,2.416292717,,,,,-10.08571429,-10.08682609,9.19047619,1074400021,2.075603538,2.075508994,2.082253178,2.082300446,41.53618406,0.433335829,0.577404829,-0.453392911,,998768884.1,25.9173444,1.884516864,1.884591223,1.885728894,1.885775862,0.21,758842569.2,1074400021,0.21,,41.53618406,0.433335829,0.577404829,-0.453392911,1057875318,,-9.696792636,88.05044249,31.19950911,-2.068603192,1035755565,21.27565215,934998805.5,-2.832587801,23.73049404,1.58889342,-12.25951283,157.3796465,54.90217996,-1.609233001,597162764.1,68.89768977,463172862.3,-2.808401149,1.159800888,37.30712997,29.37057387,78.16683348,78.16683348,124.367547,124.367547,1413129505,1413129505,46.30056436,46.30056436,,,,,0.123667618,0.087225987,0.08723,0.086914781,0.08691,0.019560216,0.040482732,-0.021182335,-0.02118,0.019300397,0.0193,-9.692869544,-0.123667618,0.087225987,0.093159167,0.258588,-32.52575625,-21.71767029,-25.19507916,-26.52963687,0.141651313,-36.7348996,-31.1919412,0.258589051,-32.52634801,-32.28720096,0.072202056,-21.72436067,-0.02420841,0.086914781,0.092949167,0.258088,0.092950537,0.258089177,0.071966074,0.099138777,,0.268291549,-36.49106431,-28.01619091,-3.964880338,-17.04667527,0.09933,0.312235,0.072205,0.099330192,0.312236317,0.04048,0.099135,0.31166,0.071965,16158019.71,,1162378.026
