Instrument,Date,Cash Flow from Operations Pct of Capital Expenditures,CAPEX to Depreciation & Amortization,CAPEX to Cash Flow from Operations,Depreciation & Depletion Pct of Cash Flow from Ops,"Depreciation & Depletion Pct of Cash Flow from Ops, TTM","Price to Cash Flow from Operations per Share, TTM","Price to Cash Flow from Operations per Share - Issue, TTM",Free Cash Flow Yield - %,"Free Cash Flow Yield - %, TTM","Free Cash Flow Yield - %, 3 Yr Avg","Free Cash Flow Yield - %, 5 Yr Avg",Cash Flow from Operations per Share,Capital Expenditures - Total per Share,"Cash Flow from Operations per Share, TTM",Free Cash Flow Net of Dividends per Share,"Free Cash Flow Net of Dividends per Share, TTM",Free Cash Flow per Share,"Free Cash Flow per Share, TTM","Capital Expenditures - Total per Share, TTM","Free Cash Flow Net of Dividends per Share, 3 Yr Avg","Free Cash Flow Net of Dividends per Share, 5 Yr Avg","Free Cash Flow Net of Dividends per Share, Annualized","Free Cash Flow per Share, 3 Yr Avg","Free Cash Flow per Share, 5 Yr Avg","Free Cash Flow per Share, Annualized","Cash Flow from Operations per Share, PoP % Chg","Cash Flow from Operations per Share, YoY % Chg",Target
KC.BK,2024-12-31,-2101.50625,2.68315,1.9072409999999997,23.133195,30.893560644441493,35.74678523770088,35.74678523770088,-26.5260473865973,-37.5081187738993,0.0,5.122938531131942,-0.017724800034652,0.000843433135966,-0.025063059537443,-0.018568233170618,-0.02625568314173,-0.018568233170618,-0.02625568314173,0.001192623604286,-0.024631845161646,-0.047940141970359,-0.032508488368902,-0.024631845161646,-0.047940141970359,-0.032508488368902,-223.244662501051,34.6587957922964,1
KC.BK,2023-12-31,31.5052,52.71196,3.17408,6.02155,30.893560644441493,35.74678523770088,35.74678523770088,-28.4246989179858,-74.3572198863043,0.0,5.122938531131942,0.014381799320924,0.045648968130709,-0.025962713278253,-0.031267168809784,-0.074357219886304,-0.031267168809784,-0.074357219886304,0.048394506608051,-0.027771172857319,-0.048933576356918,-0.030855996440988,-0.027771172857319,-0.048933576356918,-0.030855996440988,325.72992503992,-210.888367320167,1
KC.BK,2022-12-31,-261.31305,1.84219,1.9072409999999997,23.133195,30.893560644441493,35.74678523770088,35.74678523770088,-4.19495532938824,-59.7573858048086,0.0,5.122938531131942,-0.006371241791881,0.002438164399835,-0.015458779208353,-0.008809406191715,-0.07170886296577,-0.008809406191715,-0.07170886296577,0.056250083757417,-0.033618294583844,-0.059529863509247,-0.037772750130764,-0.033618294583844,-0.059529863509247,-0.037772750130764,89.2830292638542,-203.297439332469,1
KC.BK,2021-12-31,-6196.79834,0.20596,1.9072409999999997,23.133195,17.7528326171834,21.1469840791637,21.1469840791637,-0.9039788855188433,-39.9277745095304,0.0,5.122938531131942,-0.059450025093304,0.000959366786005,0.004728806700078,-0.060409391879309,-0.03992777450953,-0.060409391879309,-0.03992777450953,0.044656581209609,-0.042052322099324,-0.040547822042332,-0.014301638966346,-0.042052322099324,-0.040547822042332,-0.014301638966346,49.1319316144815,-172.296327151594,1
KC.BK,2020-12-31,-3095.51063,0.3807,1.9072409999999997,23.133195,6.02155383769585,5.91077822569416,5.91077822569416,-0.9039788855188433,-36.7816044052131,0.0,5.122938531131942,-0.116871009614016,0.003775500186352,0.018610070586277,-0.120646509800368,-0.040459764845734,-0.120646509800368,-0.040459764845734,0.059069835432012,-0.052791614107748,0.066871159068112,-0.594175211921621,-0.052791614107748,0.066871159068112,-0.594175211921621,-430.851556330643,6.87712001700261,1
KC.BK,2019-12-31,-1448.74449,0.30124,1.9072409999999997,23.133195,23.5416929152927,25.0724605306323,25.0724605306323,-0.9039788855188433,-1.34392257276133,0.0,5.122938531131942,-0.022015760944896,0.001519644158517,0.003988439821366,-0.023535405103414,-0.001343922572761,-0.023535405103414,-0.001343922572761,0.005332362394127,-0.060679452282776,0.201486197028186,0.013939412417115,-0.060679452282776,0.205452515428186,0.013939412417115,-343.39769417582,451.972124540356,1
KC.BK,2018-12-31,9.69537,18.57899,10.3142,55.51538,74.8180451178177,85.328024811116,85.328024811116,-0.9039788855188433,-2.40298135668867,0.0,5.122938531131942,0.009045180571429,0.093293785142857,0.001289142696594,-0.084248604571429,-0.002643279492358,-0.084248604571429,-0.002643279492358,0.003932422188951,-0.066014161843063,0.180816723306011,0.034617027373875,-0.066014161843063,0.184783041706011,0.034617027373875,-89.7398060935795,7872.84542846704,1
KC.BK,2017-12-31,4285.36493,0.43193,0.02334,5.40261,30.893560644441493,35.74678523770088,35.74678523770088,-0.9039788855188433,-12.0604507692406,0.0,5.122938531131942,0.088157988571429,0.002057187428571,-0.007326806207997,0.086100801142857,-0.015678586000013,0.086100801142857,-0.015678586000013,0.008351779792016,-0.068643363035087,0.133697984106011,-0.00633473698783,-0.068643363035087,0.14163918227744,-0.00633473698783,-81.7072146775844,-65.2173094777405,1
KC.BK,2016-12-31,9193.36203,0.67531,0.01088,1.61073,30.893560644441493,35.74678523770088,35.74678523770088,47.6685513672915,-4.90802385311248,0.0,12.9895766017949,0.481927639873419,0.005242126200504,-0.007454240685099,0.476685513672915,-0.010306850091536,0.476685513672915,-0.010306850091536,0.002852609406437,-0.070875051350674,0.159624339991726,-0.057574649561573,-0.070875051350674,0.167565538163154,-0.057574649561573,-16.2448645672465,-263.271348481079,1
KC.BK,2015-12-31,18322.33577,0.8694,0.00546,0.62777,32.3336787342178,41.2756785418982,41.2756785418982,26.9934090566038,1.83525081643178,0.0,6.72972282003711,0.575400705142857,0.003140433142857,0.007268202743063,0.55242868,0.005505752449295,0.572260272,0.005505752449295,0.001762450293767,-0.071963628972266,0.074968986971429,0.001363786627045,-0.071963628972266,0.082910185142857,0.001363786627045,4798.49520487644,109.47436628714,1
