Instrument,Date,ln_total_assets,ROA,net_income_to_current_assets,Inventories Percentage of Total Assets,Inventories Percentage of Total Current Assets,Cash & Cash Equivalents to Total Assets,operating_expense_to_sales,gross_profit_margin,operating_income_margin,Total Liabilities Percentage of Total Assets,Current Ratio,Quick Ratio,inventory_turnover,operating_cashflow_ratio,pretax_profit_margin,Operating Margin - %,Net Margin - %,ROE,fixed_assests_to_total_assets,working_capital_noncash_to_total_assets,growth_revenue,growth_ncwc,sg&a_to_revenue,Target
KC.BK,2024-12-31,20.688712682002734,-0.14032307431129162,-0.32264728718355157,12.20707,28.06794,0.03457,2.196268209243091,-6.0462743046741405,-8.24254251391723,76.60692,0.67572,0.48606,3.1258287541845644,-0.12881205847138774,-1.7544794345196502,-119.62682,-259.12651,-0.5998487490857203,0.5458296246611583,-0.2432870048290168,0.0,0.0,1.4984292057459208,0
KC.BK,2023-12-31,20.771774985377476,-0.06269148397090182,-0.1172673150060706,12.99908,24.31537,0.14195,1.2011468223712811,-0.8296592651273379,-2.030806087498619,65.55765,0.93128,0.70483,2.7014117044705728,0.07853077957950738,-0.344465282849445,-20.11468,-32.66446,-0.1820186087821558,0.46539678197922024,-0.18140305062638978,2.851140176192174,-0.18978706098774134,0.47957329070208377,0
KC.BK,2022-12-31,20.692271622793836,-0.09160154333946782,-0.13958747515487827,22.04297,33.59029,0.15089,1.267552086292435,-0.8526990705300254,-2.12025115682246,67.48836,1.12312,0.74586,1.7248887184018817,-0.04064311392087345,-0.42016924133506656,-26.75521,-44.6351,-0.28174997981987276,0.34376960943070267,-0.0789526724345905,-0.012435805560206958,-0.5980293196232759,0.5978198056366603,0
KC.BK,2021-12-31,20.73272785440588,-0.07496467739902832,-0.10021554560067884,27.61643,36.91866,0.19482,1.5738175227037534,0.25997393252825673,-1.3138435901754966,60.11199,1.28192,0.80865,0.28675387609227776,-0.152748766457445,-0.8606489243794381,-57.38175,-70.05302,-0.187937878788909,0.251965581290808,-0.030312350352874454,-0.4570329524582849,-0.6002184980931917,0.9245659127142992,0
KC.BK,2020-12-31,20.546625380105183,-0.12302552757805435,-0.18260233462248304,31.49817,46.75159,0.02308,1.5061290447388205,0.25760030744489965,-1.2485287372939209,76.37378,0.91845,0.48906,0.41862657703750367,-0.16333780371141657,-0.6868183026626655,-50.6129,-69.26613,-0.5207161197968756,0.32626530853288044,-0.08290435965236051,0.3779110772249503,1.270567826118878,0.8101702569865187,0
KC.BK,2019-12-31,20.636022135153283,-0.1699024439670373,-0.2871691474657958,25.53849,43.16516,0.02989,1.3185927181038382,0.2593976540017132,-1.0591950641021248,67.11099,0.91018,0.5173,0.6913914017115431,-0.03196871813255071,-0.34065583241923436,-31.85927,-71.26323,-0.5165933715004009,0.4083541164975807,-0.08827862729614934,0.4678589096655763,0.16440140187248486,0.6296316245756873,0
KC.BK,2018-12-31,20.885528657351053,-0.07518140657642489,-0.2580941465915083,26.27927,90.21546,0.0235,1.3609065390323163,0.27457148025841155,-1.0863350587739047,61.05324,0.48841,0.04779,0.4122767780520716,0.01128248615081134,-0.5794751439473449,-36.09065,-50.33881,-0.19303635550034656,0.7087054953810469,-0.32862612021094695,-0.19604323873647467,3.7775563034362625,0.6837823854271972,0
KC.BK,2017-12-31,20.91769825365533,-0.21390251951037595,-0.5994973560046989,30.4887,85.44965,0.04855,1.367576429112725,0.018331660503614847,-1.34924476860911,55.06943,0.66605,0.09691,0.7843565598800085,0.11855160129352615,-0.5781246345228153,-36.75764,-87.80681,-0.47607345526119016,0.6431968925836274,-0.22745075034871443,0.6844234183593312,-0.2852463653229025,0.42034308402959675,0
KC.BK,2016-12-31,21.094794931405776,0.0163330973438215,0.03139149576199978,48.81287,93.8162,0.02294,0.9068071761598222,0.15197095927555967,-0.7548362168842626,44.44313,1.24486,0.07698,0.8490515729028975,0.6277602631202446,0.14155643493149128,9.31928,3.34203,0.029398878064327023,0.47969674756329583,0.07940312323770005,1.394871076809372,-1.4167372497691515,0.0801837307980675,1
KC.BK,2015-12-31,21.434456363861212,-0.2021854451574342,-0.30392918827164506,61.57184,92.55601,0.01367,1.3989818850926896,0.18781912113042518,-1.2111627639622644,61.65859,1.16298,0.08657,0.5954004553993973,0.4322220558408647,-0.4485466814718404,-39.89819,-44.79313,-0.5273292304282743,0.3347613425771881,0.0795568201448163,0.29716098736604835,0.4071905721018765,0.6025047108287411,1
KC.BK,2014-12-31,21.70122668476456,0.007191648253933413,0.008527199627466555,83.52848,99.04044,0.00269,0.8616912240473799,0.35726816165042496,-0.5044230623969549,47.89953,2.60265,0.02497,0.14736564098283467,-0.01243629149678426,0.055583289164068565,13.83088,3.75515,0.013803423377697202,0.15662250584954795,0.5166425813918284,-0.44598774303315325,7.479488581737595,0.2681530199462714,0
KC.BK,2013-12-31,21.655682025958747,0.004290610292518626,0.004877978551677995,85.97659,97.74646,0.01549,0.9226283987140872,0.3589073634743176,-0.5637210352397696,45.5066,2.87154,0.06471,0.1293619359345313,-0.33051744935489136,0.0385720217256702,7.73716,2.47317,0.007873632535103436,0.11952675507189588,0.5577890237742359,-0.13446398115573177,0.031573013658676485,0.3055490783374538,0
KC.BK,2012-12-31,21.592363793905317,0.01706291857630639,0.019557357724500225,85.07466,97.51179,0.01206,0.8974999555885894,0.3478149660986537,-0.5496849894899357,41.66787,2.22144,0.05527,0.18862792176934454,0.21821106731156628,0.07610271316976037,10.25,6.93454,0.029251322053243347,0.12565602946815171,0.46765480629367884,0.3312839727341701,-0.21303271365701482,0.24531492168724314,0
KC.BK,2011-12-31,21.668394529570726,-0.019970469190540626,-0.022665936869788246,86.14832,97.77599,0.01627,1.0484862300909634,0.3188023832534375,-0.729683846837526,47.51987,2.31864,0.05157,0.11918453566891264,0.05176236314133992,-0.12371909977039516,-4.84862,-13.24935,-0.038053391624028585,0.11621274932969156,0.4848068093456805,-0.33903583229853274,0.11856966646741918,0.367288613344401,0
KC.BK,2010-12-31,21.690758574541434,-0.002042068149169963,-0.0022989514095532806,87.26678,98.24456,0.01311,0.968248947744243,0.2894504029766299,-0.678798544767613,46.86228,2.58012,0.04529,0.17322500808550687,-0.08004483991811027,-0.0041967153164844985,3.17511,-0.95985,-0.00384297284867752,0.10850139333543993,0.5308757374062513,0.4433915170304932,0.11979041945025881,0.25769935072087286,0
KC.BK,2009-12-31,21.746724334577696,0.003746148052127492,0.004218737409546768,84.72406,95.41229,0.02812,0.9382218304089551,0.30502784061286414,-0.633193989796091,48.27289,1.99262,0.09142,0.19647899619001716,0.203500909453429,0.022964566720210005,6.17782,1.56397,0.007242136231774158,0.11202151533533072,0.41422810178804875,0.19068247279325856,-0.17481314306299334,0.24324967102181932,0
KC.BK,2008-12-31,21.802946039287573,0.020979788282788753,0.023414749180224074,86.04213,96.02838,0.01601,0.8612646080679693,0.3717324893586413,-0.489532118709328,51.45499,2.12706,0.08448,0.1758718916005851,0.05992203401858668,0.09317711903371667,13.87354,8.7104,0.04321715502516026,0.10399261075544088,0.4587551609552209,0.06371257023493548,0.17154285716972528,0.2329970974266106,0
KC.BK,2007-12-31,21.8131669600122,0.01705021553608296,0.019573352108805096,81.52587,93.59028,0.0225,0.8703252444992546,0.42794589405162387,-0.4423793504476307,53.14266,1.87246,0.12002,0.1511427007671073,0.004504400319182153,0.07915609706600894,12.96748,7.91561,0.03638747381647601,0.12890671759729386,0.38338186537905433,-0.09651409116167808,-0.15571418521905578,0.2982711385508785,0
KC.BK,2006-12-31,21.730614447667353,0.0449463560102851,0.05157006758939536,78.2297,89.75835,0.02165,0.8276069354035159,0.4029618355715905,-0.4246450998319254,49.20457,2.26186,0.23165,0.25453695007160904,-0.02311978217459582,0.1347640659815939,17.23931,13.47641,0.08848497571440485,0.1284410102357969,0.4645797020155708,0.4256823734184625,0.1157748405939465,0.23056877097510634,0
KC.BK,2005-12-31,21.667077178853983,0.06989804872600794,0.08089709615180214,74.97577,86.77384,0.02224,0.8348249814210323,0.36613642136157964,-0.4686885600594527,48.27842,1.7897,0.23671,0.3497263448547902,-0.25551288933597066,0.16897077222655993,16.5175,16.89708,0.13514280125195618,0.135963439344654,0.359013712191464,0.16396305643911813,-0.2748014617508783,0.20096140278261196,0
GSTEEL.BK,2024-12-31,22.851338976296105,-0.20901805658639508,-0.8610095163554603,18.8263,77.5513,0.02379,1.1920093407963084,-1.0163926422683123,-2.20840198306462,97.85232,0.29864,0.06704,10.673380085825626,-0.26939403181242194,-0.21428543848159487,-19.20093,-20.97452,-9.732298369475656,0.7572407126565326,-0.5940374840006165,6.8732987883690955,-6.40780692255831,0.058052122015578494,0
GSTEEL.BK,2023-12-31,22.863582550581786,-0.11924715227796889,-0.5500495378889811,13.77068,63.51982,0.06149,1.0963325642947832,-0.5675869495444127,-1.6639195138391958,75.53206,0.36386,0.13274,14.414320477796194,-0.18644726933309871,-0.10752902135126786,-9.63326,-9.41738,-0.48736107494049236,0.783206522205938,-0.44100984766612145,0.2863035398797724,-0.2484605994520246,0.04493177949102959,0
GSTEEL.BK,2022-12-31,23.060904163316103,-0.1934444186543036,-0.6602807087439738,18.59594,63.47321,0.07383,1.1020256133395414,-0.12953341066245222,-1.2315590240019934,66.80013,0.67068,0.24498,8.762658073686149,-0.0967780709602996,-0.13170861478391066,-10.20256,-13.40915,-0.5826663099511556,0.7070270021635414,-0.21853403674816202,0.3878181333521151,-0.39637601468569295,0.026167751795932406,0
GSTEEL.BK,2021-12-31,23.236073858915734,0.10738787736947217,0.49673308147530654,15.79512,73.06184,0.03396,0.8619232601261977,0.174053577091769,-0.6878696830344287,53.16741,0.8497,0.22889,6.701449831535642,0.486908732851494,0.0780735803044335,13.80767,8.37945,0.22930162705069282,0.7838117061772327,-0.07319441284586403,0.05842494807487397,-0.600943788308837,0.035830463241267214,0
GSTEEL.BK,2020-12-31,23.120150402151896,-0.05457877922813083,-0.3294964032958593,11.23126,67.804,0.0301,1.0348225932664379,-0.008358212177184332,-1.0431808054436222,66.6995,0.39953,0.12863,7.609626352493261,0.08278266734191195,0.6134169912799259,-3.48226,-6.43942,-0.16389779181210087,0.8343569802820463,-0.2798435569398718,-0.4110311503237011,2.4048067194085085,0.04431056545990606,0
GSTEEL.BK,2019-12-31,23.996647121835835,0.05520022816475545,0.40592192367469027,9.96967,73.31324,0.01758,1.180507086532027,-0.10566761332105493,-1.2861746998530819,34.91809,0.62498,0.16679,7.316295443084263,-0.18386386948026812,-0.2374205126261442,-18.05071,8.36746,0.20778364683199063,0.8640126956803805,-0.09936708889937643,0.869942119153343,-0.14692946199259505,0.06691277705422087,0
GSTEEL.BK,2018-12-31,24.145325494442275,-0.07698686284360425,-0.4318456088876512,15.05427,84.44454,0.00843,1.0544737620922109,-0.0023456316560408266,-1.0568193937482517,67.02672,0.28514,0.04435,6.51330234243874,0.01654556485319557,-0.07869971767473663,-5.44738,-7.86997,-13.677757277955747,0.8217259565475098,-0.4557500773386502,0.7205457787423273,4.3217489249217405,0.04065074203407773,0
GSTEEL.BK,2017-12-31,24.19436396177084,0.011362011325642336,0.06849413458039594,12.77561,77.0158,0.01836,1.020132801006983,0.7436592070333425,-0.27647359397364046,61.48578,0.3092,0.07107,1.6031518977466621,-0.03548796496264869,-0.0054440950855153165,-2.01328,1.42206,0.1852652368222215,0.8341170175337274,-0.38935653077456983,-0.14218766586345577,-0.10274094809893386,0.046851771374465556,0
GSTEEL.BK,2016-12-31,24.208027961305607,-0.03214787271613796,-0.3396322937134422,6.10634,64.51162,0.01911,1.025577110469101,0.7517075153976182,-0.27386959507148273,66.67688,0.15223,0.05403,2.703344188349585,0.028411438552040404,-0.05008407769478839,-2.55771,-4.83541,-0.48804610307818225,0.9053450649093396,-0.5462268535806922,-0.1564427595155422,0.4221970814463982,0.06615772810022016,0
GSTEEL.BK,2015-12-31,24.232890083678125,-0.12996377487825828,-1.8545206329115356,5.04872,72.04282,0.00477,1.116358818058688,0.7529095983119499,-0.3634492197467381,64.35931,0.12676,0.03544,3.3412054516634146,6.11871971896331e-05,-0.18958075735307714,-11.63588,-19.03679,-1.3615161920517018,0.9299205559798925,-0.4875320313184194,0.05270623183305978,-0.08498631385585431,0.06330619608280387,0
GSTEEL.BK,2014-12-31,24.34671773484818,-0.05780536293104838,-0.4892323367858747,8.89105,75.24887,0.00662,1.07795160990558,1.1683659834329783,0.09041437352739824,56.72383,0.24834,0.06147,-1.2100291803505063,-0.028790685610883913,-0.0896792465412582,-7.79516,-9.04636,-0.3351218368814398,0.8818447625297745,-0.3642476316820846,0.04881885949451403,-0.16280176717307204,0.08021036227397861,0
GSTEEL.BK,2013-12-31,24.341959878975864,-0.06252553568083727,-0.9441159639379187,3.97028,59.94997,0.0058,1.5676730428971106,-0.011576358338276957,-1.5792494012353877,52.06376,0.16693,0.06686,6.627585830296923,-0.15097134953675412,-0.4059036160906171,-56.7673,-24.03697,-0.27045676331849133,0.9337734578493488,-0.3362964205790233,-0.5948489206467108,-0.08111915647137413,0.3382971826807156,0
GSTEEL.BK,2012-12-31,24.362291422517956,-0.15398316279357188,-3.5100126397893363,2.37272,54.08555,0.00141,1.5476352562683386,-0.08392464671587704,-1.6315599029842156,63.1649,0.07414,0.03404,15.733894717237645,-0.031600614977170684,-0.6033517475104699,-54.76353,-44.70852,-0.9128706937750057,0.9542775459457348,-0.5492900877754912,0.3512480019276334,0.6668994156080315,0.23810370584775548,0
